trapscap1
parameters 26
# exponents ... coefficient
	  0   0   0   0   1   0    5.56417e-02 
	  0   1   0   1   0   0    -2.48655e-02 
	  0   0   0   0   0   0    1.96865e-01 
	  0   1   0   0   0   0    1.78803e-01 
	  0   0   1   0   0   0    -7.52501e-02 
	  1   1   0   0   0   0    -1.29669e-01 
	  0   0   0   0   0   2    1.19669e-02 
	  1   0   1   0   0   0    -1.58259e-01 
	  0   0   0   1   0   0    1.05795e-02 
	  2   0   0   0   0   0    1.92824e-02 
	  0   0   1   0   0   1    2.45904e-03 
	  0   1   0   1   0   1    2.22747e-02 
	  1   0   0   1   1   0    4.87223e-02 
	  0   0   0   0   0   1    2.69509e-02 
	  0   0   0   1   0   1    5.32895e-02 
	  0   0   1   1   0   0    3.13567e-02 
	  0   0   0   0   1   1    -2.97267e-02 
	  0   1   2   0   1   0    -7.26797e-02 
	  2   0   1   0   0   0    9.41882e-02 
	  0   1   1   0   2   0    1.71559e-01 
	  0   0   2   0   0   0    -8.39315e-02 
	  0   2   0   0   0   0    -6.50716e-02 
	  2   2   0   0   0   0    2.34480e-01 
	  1   0   0   0   0   0    1.13548e-02 
	  0   1   0   2   0   0    -2.28783e-02 
	  1   0   0   2   0   0    -1.22536e-02 
trapscap2
parameters 25
# exponents ... coefficient
	  0   0   0   0   1   0    1.00200e-01 
	  0   1   0   0   1   0    1.91977e-02 
	  0   0   0   1   0   0    2.20625e-02 
	  1   0   0   0   0   0    2.58745e-02 
	  0   0   1   0   0   0    -7.32276e-02 
	  0   0   0   0   0   0    1.69961e-01 
	  0   0   0   0   0   2    3.76973e-02 
	  0   1   0   0   0   0    2.05055e-01 
	  0   0   1   0   0   1    2.24311e-02 
	  1   1   0   0   0   0    -1.42075e-01 
	  1   0   1   0   0   0    -1.48043e-01 
	  2   1   0   0   0   0    -1.08320e-01 
	  0   1   0   1   1   0    -6.39640e-02 
	  0   0   0   0   0   1    4.47303e-02 
	  0   0   0   1   0   1    1.09037e-01 
	  1   0   0   1   0   0    5.30383e-02 
	  0   0   1   1   0   0    3.95189e-02 
	  0   1   2   0   0   0    2.66709e-01 
	  3   0   1   0   0   0    1.69307e-01 
	  0   0   0   2   0   0    1.76598e-02 
	  0   0   0   0   1   1    -4.57597e-02 
	  0   0   1   0   3   0    -7.78701e-02 
	  0   0   0   1   1   1    -7.89503e-02 
	  1   0   0   2   1   0    -4.65134e-02 
	  2   0   0   0   0   0    2.05834e-02 
trapscap3
parameters 23
# exponents ... coefficient
	  0   0   0   0   1   0    1.40386e-01 
	  0   1   0   0   1   0    5.63256e-02 
	  0   0   0   1   0   0    2.56737e-02 
	  1   0   0   0   0   0    4.56264e-02 
	  0   0   1   0   1   0    -1.27956e-01 
