trapscap1
parameters 71
# exponents ... coefficient
	  0   0   0   0   1   0    2.61928e-02 
	  0   0   0   0   0   0    2.01505e-01 
	  0   1   0   0   0   0    1.65494e-01 
	  0   0   1   0   0   0    -6.75293e-02 
	  0   0   0   1   0   0    1.86766e-02 
	  1   1   0   0   0   0    -9.10008e-02 
	  0   0   0   0   0   2    1.81042e-02 
	  0   0   1   0   0   1    5.66989e-03 
	  1   0   1   0   0   0    -1.52045e-01 
	  2   0   0   0   0   0    2.40391e-02 
	  0   0   0   2   0   0    2.19549e-02 
	  1   0   0   1   0   0    5.81621e-02 
	  0   0   0   0   0   1    1.69673e-02 
	  0   0   0   1   0   1    5.46287e-02 
	  0   0   2   0   1   0    -1.70854e-02 
	  0   2   0   1   0   0    7.22952e-03 
	  0   0   1   1   1   0    4.37477e-02 
	  0   2   1   0   0   0    -4.35036e-02 
	  0   0   0   0   2   1    -7.05366e-03 
	  0   2   0   0   0   0    -7.71959e-02 
	  1   0   0   0   0   0    1.88432e-02 
	  2   2   0   0   0   0    1.26283e-01 
	  0   0   0   2   1   0    -1.34776e-02 
	  0   0   1   0   2   1    -3.13535e-02 
	  0   0   0   0   1   2    8.13355e-03 
	  2   0   1   0   0   0    4.50425e-02 
	  1   0   1   0   1   1    -6.37528e-02 
	  1   0   0   1   1   0    -8.42045e-03 
	  2   0   0   0   1   0    3.20751e-02 
	  0   0   0   0   2   0    3.62312e-02 
	  2   0   0   0   2   0    -5.78961e-02 
	  0   0   2   0   0   0    -5.09790e-02 
	  0   2   0   0   2   0    -1.14266e-02 
	  1   3   0   0   0   0    -2.38915e-01 
	  0   0   0   0   0   3    -1.43951e-02 
	  1   0   0   1   0   1    -7.46307e-02 
	  0   0   0   2   0   1    -2.45254e-02 
	  1   0   0   2   1   0    -1.02411e-01 
	  0   1   1   0   1   0    2.03500e-02 
	  3   1   0   0   0   0    -3.17373e-03 
	  0   0   0   0   3   1    -2.97057e-02 
	  0   0   0   3   0   0    -1.14308e-02 
	  2   0   0   1   1   0    -1.02636e-01 
	  1   0   2   0   0   0    -5.63592e-02 
	  0   1   0   1   0   0    -1.80357e-02 
	  0   0   0   1   1   0    -1.61537e-02 
	  1   0   0   0   3   0    -3.12642e-02 
	  0   1   1   0   0   0    3.80672e-02 
	  0   1   0   1   2   0    -2.77608e-03 
	  2   1   0   0   0   0    -6.76727e-02 
	  1   0   0   1   1   1    5.87542e-02 
	  1   0   1   2   0   0    -3.73667e-02 
	  3   0   0   0   0   1    1.67861e-02 
	  1   1   0   0   0   1    -2.55261e-02 
	  1   1   0   0   1   1    6.56212e-02 
	  0   1   0   2   0   0    -1.75487e-02 
	  1   2   0   1   0   0    7.90079e-02 
	  0   1   0   0   1   0    1.03586e-02 
	  0   0   0   1   0   2    -1.50914e-02 
	  1   0   0   0   1   2    -6.02131e-02 
