trapscap1
parameters 49
# exponents ... coefficient
	  0   0   0   0   0   0    1.98347e-01 
	  1   0   0   0   0   0    8.46970e-02 
	  0   0   0   1   0   0    2.27156e-02 
	  0   1   0   0   0   0    -3.43328e-02 
	  0   0   1   0   0   0    8.54648e-03 
	  0   0   0   1   0   1    -3.54020e-03 
	  0   0   0   1   1   0    -2.98951e-03 
	  0   0   0   0   2   0    8.02723e-03 
	  0   0   1   0   1   0    1.01211e-02 
	  1   0   2   0   0   0    -1.07977e-03 
	  0   0   0   2   2   0    -7.84197e-05 
	  1   1   0   1   0   0    3.49195e-02 
	  0   1   0   0   1   0    3.56074e-03 
	  0   1   1   1   0   0    3.65251e-03 
	  2   0   1   0   0   1    3.18328e-04 
	  0   0   0   0   1   1    3.28120e-02 
	  0   0   0   0   0   1    5.73908e-03 
	  0   0   0   2   0   2    -5.16514e-03 
	  0   0   1   0   0   1    1.29671e-02 
	  0   0   0   0   1   0    1.08424e-02 
	  0   0   0   1   1   1    -1.55496e-02 
	  2   0   0   0   0   0    -2.00534e-02 
	  0   0   2   0   0   0    8.36669e-03 
	  1   0   0   1   0   1    -4.04555e-03 
	  0   0   1   3   0   0    -6.79560e-04 
	  0   0   1   2   0   1    -4.11954e-03 
	  1   1   0   2   0   0    -1.59572e-02 
	  0   0   2   2   0   0    -2.73331e-03 
	  1   0   1   0   1   0    -2.40240e-03 
	  2   2   0   0   0   0    1.70917e-02 
	  0   2   0   0   0   0    -1.44850e-02 
	  0   0   1   1   1   0    -2.22722e-03 
	  1   0   1   0   0   0    -4.00691e-03 
	  2   1   1   0   0   0    -1.01360e-02 
	  0   0   0   1   3   0    -4.86707e-03 
	  0   0   1   1   2   0    -5.96400e-03 
	  0   0   0   0   3   1    -4.61635e-03 
	  1   1   0   0   1   0    6.65471e-03 
	  1   0   0   0   1   0    -2.30203e-03 
	  0   1   0   2   0   1    3.32253e-03 
	  0   3   0   0   0   0    6.64399e-03 
	  0   0   2   0   1   0    -3.52317e-03 
	  3   1   0   0   0   0    1.06198e-02 
	  1   1   0   1   0   1    3.98095e-03 
	  1   2   0   0   0   0    -2.73274e-02 
	  4   0   0   0   0   0    5.87831e-03 
	  0   0   0   2   0   0    1.27237e-03 
	  0   0   0   0   4   0    1.97687e-03 
	  0   0   3   0   0   0    -9.41360e-04 
trapscap2
parameters 43
# exponents ... coefficient
	  0   0   0   0   0   0    1.77475e-01 
	  1   0   0   0   0   0    8.96509e-02 
	  0   0   0   1   0   0    2.86369e-02 
	  0   1   0   0   0   0    -3.49724e-02 
	  0   0   1   0   0   0    1.56198e-02 
	  0   0   0   1   0   1    2.80118e-02 
	  0   0   0   1   1   0    -5.33317e-03 
	  0   0   0   0   2   0    1.89274e-02 
	  0   0   1   0   1   0    1.76373e-02 
	  0   0   2   0   0   0    1.43623e-02 
	  1   1   0   1   0   0    1.90585e-02 
	  0   0   0   2   2   0    -7.65395e-03 
	  0   0   0   0   1   0    1.87962e-02 
	  0   0   0   0   1   1    4.13534e-02 
	  0   0   1   0   0   1    2.27090e-02 
	  1   0   0   1   0   2    1.36398e-03 
